type,component,label,family
http://purl.org/linked-data/cube#MeasureProperty,http://gss-data.org.uk/def/measure/median-rating,Median Rating,NA
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/bop-services,BOP Services,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/sitc-section,SITC Section,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/seasonal-adjustment,Seasonal Adjustment,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/turnover,Turnover,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/employment,Employment,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/age-of-business,Age of Business,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/country-of-ownership,Country of Ownership,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/product,Product,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/price-classification,Price Classification,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/trade-partner-geography,Trade Partner Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/trade-reporter-geography,Trade Reporter Geography,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/international-trade-basis,International Trade Basis,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/investment-direction,Investment Direction,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/export-and-import-activity,Export and Import Activity,trade
http://purl.org/linked-data/cube#DimensionProperty,http://gss-data.org.uk/def/trade/property/dimension/sitc-4,SITC 4,trade
